existing contnet

adsfasf


1r33wr
0.0,548.0
2.01,552.88
4.02,539.25
6.03,543.88
8.05,554.13
10.06,543.75
12.07,539.63
14.08,552.38
16.09,547.88
18.1,538.38
20.12,546.63
22.13,553.63
24.14,541.38
26.15,541.0
28.16,552.75
30.17,547.75
32.18,538.13
34.2,546.63
36.21,554.0
38.22,542.13
40.23,540.5
42.24,553.38
44.25,547.25
46.27,538.5
48.28,548.88
50.29,551.63
52.3,538.38
54.31,546.13
56.32,553.13
58.33,539.25
60.35,545.25
62.36,554.38
64.37,541.25
66.38,543.38
68.39,554.0
70.4,542.38
72.42,541.25
74.43,554.25
76.44,543.63
78.45,540.0
80.46,554.13
82.47,544.63
84.48,540.75
86.5,553.5
88.51,546.25
90.52,539.13
92.53,553.25
94.54,547.0
96.55,538.75
98.57,551.75
100.58,548.38
102.59,538.75
104.6,548.0
106.61,551.88
108.62,539.0
110.64,544.75
112.65,553.75
114.66,541.88
116.67,541.13
